Year of 연도,분류,개봉편수,관객수,관객수(만),매출액,매출액(억),상영편수,지표 선택에 따른 변수
2004,한국영화,74,37741433,3774.1433,239143250406,2391.43250406,95,2391.43250406
2005,한국영화,82,71346379,7134.6379,451707494794,4517.07494794,116,4517.07494794
2006,한국영화,110,91745620,9174.562,568090373200,5680.903732,159,5680.903732
2007,한국영화,111,75791003,7579.1003,479858559900,4798.585599,183,4798.585599
2008,한국영화,110,62047324,6204.7324,407327224301,4073.27224301,252,4073.27224301
2009,한국영화,119,75644847,7564.4847,526482459500,5264.824595,211,5264.824595
2010,한국영화,142,68843175,6884.3175,508426689450,5084.2668945,275,5084.2668945
2011,한국영화,152,82868189,8286.8189,613722968100,6137.229681,334,6137.229681
2012,한국영화,176,114911591,11491.1591,838238171234,8382.38171234,389,8382.38171234
2013,한국영화,183,127291781,12729.1781,909932880105,9099.32880105,491,9099.32880105
2014,한국영화,217,107703922,10770.3922,820639569302,8206.39569302,515,8206.39569302
2015,한국영화,257,112941882,11294.1882,879658901660,8796.5890166,584,8796.5890166
2016,한국영화,337,116555889,11655.5889,927865027723,9278.65027723,702,9278.65027723
2017,한국영화,495,113907067,11390.7067,902667356338,9026.67356338,887,9026.67356338
2018,한국영화,661,110149287,11014.9287,912746432308,9127.46432308,1094,9127.46432308
2019,한국영화,697,115621862,11562.1862,970793408451,9707.93408451,1120,9707.93408451
2020,한국영화,782,40462371,4046.2371,350412173790,3504.1217379,1111,3504.1217379
2021,한국영화,472,5163032,516.3032,47895698290,478.9569829,697,478.9569829
2004,외국영화,206,31513193,3151.3193,201585655800,2015.856558,205,2015.856558
2005,외국영화,224,52005680,5200.568,328657484673,3286.57484673,298,3286.57484673
2006,외국영화,241,52510415,5251.0415,324351764800,3243.517648,322,3243.517648
2007,외국영화,282,76231989,7623.1989,485628064638,4856.28064638,428,4856.28064638
2008,외국영화,270,85381315,8538.1315,554126072950,5541.2607295,552,5541.2607295
2009,외국영화,243,79753807,7975.3807,556713545450,5567.1354545,503,5567.1354545
2010,외국영화,288,78916039,7891.6039,648828048800,6488.280488,521,6488.280488
2011,외국영화,290,76856276,7685.6276,622076496100,6220.764961,609,6220.764961
2012,외국영화,465,79978996,7997.8996,616902183201,6169.02183201,842,6169.02183201
2013,외국영화,724,86059249,8605.9249,641419104616,6414.19104616,1184,6414.19104616
2014,외국영화,878,107365036,10736.5036,843592979858,8435.92979858,1437,8435.92979858
2015,외국영화,946,104357641,10435.7641,835842670018,8358.42670018,1556,8358.42670018
2016,외국영화,1237,100470293,10047.0293,815329396647,8153.29396647,1912,8153.29396647
2017,외국영화,1272,105969160,10596.916,853910494775,8539.10494775,2059,8539.10494775
2018,외국영화,1210,106235982,10623.5982,901217376930,9012.1737693,2086,9012.1737693
2019,외국영화,1246,111056915,11105.6915,943195671617,9431.95671617,1960,9431.95671617
2020,외국영화,1115,19061722,1906.1722,159963048401,1599.63048401,1858,1599.63048401
2021,외국영화,578,19954100,1995.41,189128268070,1891.2826807,1072,1891.2826807
